Epoch: [0][1640/2276], lr: 0.00100	Time 1.278 (2.879)	Data 0.002 (1.690)	Loss 1.4331 (1.8616)	Prec@1 60.000 (47.380)	Prec@5 90.000 (81.027)
Epoch: [0][1660/2276], lr: 0.00100	Time 1.178 (2.877)	Data 0.001 (1.688)	Loss 0.9116 (1.8531)	Prec@1 75.000 (47.613)	Prec@5 95.000 (81.168)
Epoch: [0][1680/2276], lr: 0.00100	Time 1.289 (2.874)	Data 0.001 (1.685)	Loss 1.0209 (1.8448)	Prec@1 75.000 (47.858)	Prec@5 90.000 (81.297)
Epoch: [0][1700/2276], lr: 0.00100	Time 1.037 (2.873)	Data 0.001 (1.685)	Loss 1.5776 (1.8395)	Prec@1 60.000 (48.007)	Prec@5 100.000 (81.390)
Epoch: [0][1720/2276], lr: 0.00100	Time 1.156 (2.872)	Data 0.001 (1.683)	Loss 1.5594 (1.8347)	Prec@1 40.000 (48.178)	Prec@5 90.000 (81.470)
Epoch: [0][1740/2276], lr: 0.00100	Time 1.047 (2.875)	Data 0.001 (1.687)	Loss 1.9425 (1.8282)	Prec@1 55.000 (48.346)	Prec@5 80.000 (81.582)
Epoch: [0][1760/2276], lr: 0.00100	Time 1.115 (2.874)	Data 0.003 (1.686)	Loss 1.2256 (1.8194)	Prec@1 55.000 (48.603)	Prec@5 95.000 (81.721)
Epoch: [0][1780/2276], lr: 0.00100	Time 1.819 (2.873)	Data 0.002 (1.685)	Loss 0.9161 (1.8112)	Prec@1 75.000 (48.829)	Prec@5 95.000 (81.830)
Epoch: [0][1800/2276], lr: 0.00100	Time 1.113 (2.871)	Data 0.001 (1.683)	Loss 0.7280 (1.8039)	Prec@1 75.000 (49.053)	Prec@5 95.000 (81.907)
Epoch: [0][1820/2276], lr: 0.00100	Time 1.097 (2.870)	Data 0.002 (1.683)	Loss 0.7683 (1.7964)	Prec@1 85.000 (49.275)	Prec@5 95.000 (82.015)
Epoch: [0][1840/2276], lr: 0.00100	Time 1.010 (2.871)	Data 0.002 (1.684)	Loss 1.2698 (1.7906)	Prec@1 60.000 (49.454)	Prec@5 90.000 (82.072)
Epoch: [0][1860/2276], lr: 0.00100	Time 1.664 (2.868)	Data 0.001 (1.681)	Loss 1.1837 (1.7842)	Prec@1 75.000 (49.624)	Prec@5 95.000 (82.187)
Epoch: [0][1880/2276], lr: 0.00100	Time 1.109 (2.870)	Data 0.022 (1.683)	Loss 0.9283 (1.7773)	Prec@1 70.000 (49.787)	Prec@5 95.000 (82.294)
Epoch: [0][1900/2276], lr: 0.00100	Time 1.132 (2.870)	Data 0.001 (1.684)	Loss 1.2411 (1.7714)	Prec@1 65.000 (49.953)	Prec@5 95.000 (82.396)
Epoch: [0][1920/2276], lr: 0.00100	Time 1.050 (2.874)	Data 0.021 (1.688)	Loss 0.9588 (1.7634)	Prec@1 75.000 (50.164)	Prec@5 90.000 (82.517)
Epoch: [0][1940/2276], lr: 0.00100	Time 0.983 (2.874)	Data 0.001 (1.689)	Loss 1.3602 (1.7553)	Prec@1 60.000 (50.384)	Prec@5 85.000 (82.628)
Epoch: [0][1960/2276], lr: 0.00100	Time 1.134 (2.875)	Data 0.002 (1.690)	Loss 1.0750 (1.7473)	Prec@1 65.000 (50.586)	Prec@5 95.000 (82.743)
Epoch: [0][1980/2276], lr: 0.00100	Time 1.521 (2.874)	Data 0.017 (1.690)	Loss 1.1312 (1.7413)	Prec@1 70.000 (50.742)	Prec@5 90.000 (82.842)
Epoch: [0][2000/2276], lr: 0.00100	Time 0.832 (2.876)	Data 0.001 (1.694)	Loss 1.1533 (1.7358)	Prec@1 65.000 (50.875)	Prec@5 95.000 (82.934)
Epoch: [0][2020/2276], lr: 0.00100	Time 1.113 (2.872)	Data 0.001 (1.690)	Loss 1.2272 (1.7297)	Prec@1 70.000 (51.024)	Prec@5 90.000 (83.026)
Epoch: [0][2040/2276], lr: 0.00100	Time 1.485 (2.871)	Data 0.001 (1.690)	Loss 0.6849 (1.7220)	Prec@1 75.000 (51.227)	Prec@5 100.000 (83.141)
Epoch: [0][2060/2276], lr: 0.00100	Time 1.148 (2.871)	Data 0.002 (1.689)	Loss 1.3867 (1.7157)	Prec@1 70.000 (51.388)	Prec@5 80.000 (83.234)
Epoch: [0][2080/2276], lr: 0.00100	Time 1.120 (2.872)	Data 0.002 (1.691)	Loss 0.3472 (1.7092)	Prec@1 90.000 (51.550)	Prec@5 100.000 (83.333)
Epoch: [0][2100/2276], lr: 0.00100	Time 0.897 (2.874)	Data 0.004 (1.694)	Loss 0.8263 (1.7034)	Prec@1 70.000 (51.725)	Prec@5 95.000 (83.410)
Epoch: [0][2120/2276], lr: 0.00100	Time 1.085 (2.872)	Data 0.002 (1.693)	Loss 1.5684 (1.6977)	Prec@1 55.000 (51.891)	Prec@5 80.000 (83.487)
Epoch: [0][2140/2276], lr: 0.00100	Time 1.233 (2.874)	Data 0.002 (1.695)	Loss 1.4305 (1.6935)	Prec@1 60.000 (51.994)	Prec@5 80.000 (83.540)
Epoch: [0][2160/2276], lr: 0.00100	Time 1.125 (2.875)	Data 0.001 (1.697)	Loss 1.2251 (1.6885)	Prec@1 65.000 (52.138)	Prec@5 95.000 (83.619)
Epoch: [0][2180/2276], lr: 0.00100	Time 1.090 (2.875)	Data 0.001 (1.697)	Loss 0.7608 (1.6829)	Prec@1 80.000 (52.315)	Prec@5 95.000 (83.698)
Epoch: [0][2200/2276], lr: 0.00100	Time 1.000 (2.875)	Data 0.001 (1.698)	Loss 1.1591 (1.6772)	Prec@1 60.000 (52.474)	Prec@5 85.000 (83.766)
Epoch: [0][2220/2276], lr: 0.00100	Time 1.058 (2.873)	Data 0.009 (1.698)	Loss 1.0450 (1.6720)	Prec@1 80.000 (52.618)	Prec@5 95.000 (83.843)
Epoch: [0][2240/2276], lr: 0.00100	Time 1.072 (2.872)	Data 0.002 (1.696)	Loss 0.6108 (1.6656)	Prec@1 85.000 (52.807)	Prec@5 95.000 (83.940)
Epoch: [0][2260/2276], lr: 0.00100	Time 0.794 (2.857)	Data 0.000 (1.684)	Loss 0.9072 (1.6598)	Prec@1 60.000 (52.974)	Prec@5 100.000 (84.018)
Test: [0/567]	Time 60.554 (60.554)	Loss 1.6224 (1.6224)	Prec@1 65.000 (65.000)	Prec@5 85.000 (85.000)
Test: [20/567]	Time 44.091 (5.814)	Loss 0.5553 (1.5510)	Prec@1 80.000 (61.667)	Prec@5 95.000 (87.381)
Test: [40/567]	Time 0.494 (4.046)	Loss 0.0000 (1.3047)	Prec@1 100.000 (67.561)	Prec@5 100.000 (91.463)
Test: [60/567]	Time 0.501 (3.443)	Loss 0.6645 (0.9492)	Prec@1 85.000 (76.557)	Prec@5 100.000 (94.262)
Test: [80/567]	Time 0.817 (3.203)	Loss 0.5433 (0.8078)	Prec@1 85.000 (79.877)	Prec@5 100.000 (95.494)
Test: [100/567]	Time 16.306 (3.216)	Loss 1.2296 (0.9561)	Prec@1 80.000 (75.446)	Prec@5 90.000 (94.356)
Test: [120/567]	Time 0.534 (3.269)	Loss 1.5990 (1.0340)	Prec@1 75.000 (71.198)	Prec@5 95.000 (94.959)
Test: [140/567]	Time 0.403 (3.419)	Loss 0.0851 (0.9078)	Prec@1 95.000 (74.681)	Prec@5 100.000 (95.638)
Test: [160/567]	Time 0.656 (3.528)	Loss 1.0316 (0.8950)	Prec@1 20.000 (71.801)	Prec@5 100.000 (96.180)
Test: [180/567]	Time 0.606 (3.414)	Loss 0.0341 (0.8877)	Prec@1 100.000 (71.381)	Prec@5 100.000 (96.409)
Test: [200/567]	Time 0.424 (3.308)	Loss 0.3231 (0.8124)	Prec@1 95.000 (73.905)	Prec@5 100.000 (96.741)
Test: [220/567]	Time 0.424 (3.220)	Loss 1.2214 (0.7933)	Prec@1 65.000 (74.796)	Prec@5 100.000 (96.923)
Test: [240/567]	Time 0.425 (3.197)	Loss 0.0000 (0.7989)	Prec@1 100.000 (75.353)	Prec@5 100.000 (96.950)
Test: [260/567]	Time 1.160 (3.137)	Loss 0.6604 (0.7823)	Prec@1 85.000 (76.169)	Prec@5 95.000 (97.031)
Test: [280/567]	Time 0.534 (3.184)	Loss 0.7177 (0.8517)	Prec@1 75.000 (74.253)	Prec@5 100.000 (97.064)
Test: [300/567]	Time 0.438 (3.100)	Loss 1.3070 (0.8823)	Prec@1 60.000 (73.372)	Prec@5 95.000 (96.728)
Test: [320/567]	Time 0.560 (3.037)	Loss 1.7864 (0.9055)	Prec@1 35.000 (72.991)	Prec@5 90.000 (96.449)
Test: [340/567]	Time 0.602 (3.007)	Loss 0.7309 (0.8584)	Prec@1 70.000 (74.370)	Prec@5 100.000 (96.642)
Test: [360/567]	Time 0.468 (2.969)	Loss 2.5506 (0.8726)	Prec@1 55.000 (74.294)	Prec@5 80.000 (96.496)
Test: [380/567]	Time 0.862 (2.904)	Loss 1.2362 (0.9210)	Prec@1 55.000 (73.570)	Prec@5 90.000 (95.879)
Test: [400/567]	Time 0.485 (2.919)	Loss 0.0049 (0.8960)	Prec@1 100.000 (74.102)	Prec@5 100.000 (96.035)
Test: [420/567]	Time 0.535 (2.919)	Loss 2.0798 (0.9127)	Prec@1 50.000 (73.812)	Prec@5 100.000 (95.998)
Test: [440/567]	Time 0.554 (2.908)	Loss 1.5958 (0.9413)	Prec@1 65.000 (73.503)	Prec@5 90.000 (95.771)
Test: [460/567]	Time 0.406 (2.901)	Loss 2.8059 (0.9570)	Prec@1 35.000 (73.492)	Prec@5 100.000 (95.694)
Test: [480/567]	Time 0.476 (2.858)	Loss 0.0124 (0.9422)	Prec@1 100.000 (73.971)	Prec@5 100.000 (95.863)
Test: [500/567]	Time 0.361 (2.821)	Loss 1.0959 (0.9308)	Prec@1 70.000 (74.291)	Prec@5 95.000 (95.958)
Test: [520/567]	Time 0.966 (2.798)	Loss 0.0143 (0.9348)	Prec@1 100.000 (74.079)	Prec@5 100.000 (96.046)
Test: [540/567]	Time 0.459 (2.799)	Loss 0.8040 (0.9202)	Prec@1 65.000 (74.482)	Prec@5 100.000 (96.155)
Test: [560/567]	Time 0.239 (2.754)	Loss 0.2534 (0.9061)	Prec@1 90.000 (74.831)	Prec@5 100.000 (96.275)
Testing Results: Prec@1 74.885 Prec@5 96.296 Loss 0.90341 nAUDC 1.00000 pMiss 1.00000
Best Loss: 0.903

Epoch: [1][0/2276], lr: 0.00100	Time 59.832 (59.832)	Data 58.558 (58.558)	Loss 1.3450 (1.3450)	Prec@1 65.000 (65.000)	Prec@5 85.000 (85.000)
Epoch: [1][20/2276], lr: 0.00100	Time 29.332 (5.326)	Data 27.945 (4.123)	Loss 0.8133 (1.0455)	Prec@1 75.000 (70.476)	Prec@5 100.000 (93.333)
Epoch: [1][40/2276], lr: 0.00100	Time 29.114 (4.032)	Data 27.898 (2.834)	Loss 0.8268 (0.9695)	Prec@1 70.000 (71.829)	Prec@5 95.000 (93.537)
Epoch: [1][60/2276], lr: 0.00100	Time 25.767 (3.644)	Data 24.461 (2.447)	Loss 0.9290 (0.9553)	Prec@1 65.000 (73.115)	Prec@5 95.000 (93.361)
Epoch: [1][80/2276], lr: 0.00100	Time 27.123 (3.452)	Data 25.407 (2.251)	Loss 0.7383 (0.9961)	Prec@1 70.000 (71.543)	Prec@5 100.000 (92.901)
