Epoch: [0][1680/2276], lr: 0.10000	Time 0.268 (0.287)	Data 0.000 (0.017)	Loss 3.1071 (3.6307)	Prec@1 20.000 (7.487)	Prec@5 35.000 (27.109)
Epoch: [0][1700/2276], lr: 0.10000	Time 0.274 (0.287)	Data 0.000 (0.017)	Loss 3.4375 (3.6250)	Prec@1 10.000 (7.560)	Prec@5 30.000 (27.319)
Epoch: [0][1720/2276], lr: 0.10000	Time 0.243 (0.287)	Data 0.000 (0.016)	Loss 2.7781 (3.6175)	Prec@1 20.000 (7.670)	Prec@5 60.000 (27.603)
Epoch: [0][1740/2276], lr: 0.10000	Time 0.274 (0.286)	Data 0.000 (0.016)	Loss 2.7833 (3.6102)	Prec@1 10.000 (7.754)	Prec@5 55.000 (27.855)
Epoch: [0][1760/2276], lr: 0.10000	Time 0.268 (0.286)	Data 0.001 (0.016)	Loss 3.0522 (3.6021)	Prec@1 10.000 (7.871)	Prec@5 60.000 (28.115)
Epoch: [0][1780/2276], lr: 0.10000	Time 0.258 (0.286)	Data 0.000 (0.016)	Loss 3.1201 (3.5934)	Prec@1 15.000 (8.001)	Prec@5 45.000 (28.467)
Epoch: [0][1800/2276], lr: 0.10000	Time 0.272 (0.286)	Data 0.000 (0.016)	Loss 2.5436 (3.5861)	Prec@1 45.000 (8.148)	Prec@5 65.000 (28.728)
Epoch: [0][1820/2276], lr: 0.10000	Time 0.267 (0.286)	Data 0.000 (0.015)	Loss 2.6342 (3.5803)	Prec@1 30.000 (8.245)	Prec@5 65.000 (28.954)
Epoch: [0][1840/2276], lr: 0.10000	Time 0.268 (0.285)	Data 0.000 (0.015)	Loss 3.0580 (3.5733)	Prec@1 25.000 (8.362)	Prec@5 50.000 (29.226)
Epoch: [0][1860/2276], lr: 0.10000	Time 0.266 (0.285)	Data 0.000 (0.015)	Loss 2.9235 (3.5658)	Prec@1 30.000 (8.495)	Prec@5 50.000 (29.481)
Epoch: [0][1880/2276], lr: 0.10000	Time 0.272 (0.285)	Data 0.000 (0.015)	Loss 3.2818 (3.5586)	Prec@1 15.000 (8.639)	Prec@5 45.000 (29.724)
Epoch: [0][1900/2276], lr: 0.10000	Time 0.272 (0.285)	Data 0.000 (0.015)	Loss 2.6981 (3.5504)	Prec@1 20.000 (8.787)	Prec@5 60.000 (29.995)
Epoch: [0][1920/2276], lr: 0.10000	Time 0.257 (0.285)	Data 0.000 (0.015)	Loss 3.0615 (3.5438)	Prec@1 20.000 (8.860)	Prec@5 55.000 (30.239)
Epoch: [0][1940/2276], lr: 0.10000	Time 0.272 (0.285)	Data 0.000 (0.015)	Loss 3.2974 (3.5363)	Prec@1 20.000 (9.021)	Prec@5 30.000 (30.482)
Epoch: [0][1960/2276], lr: 0.10000	Time 0.269 (0.285)	Data 0.000 (0.014)	Loss 2.7975 (3.5296)	Prec@1 10.000 (9.113)	Prec@5 60.000 (30.711)
Epoch: [0][1980/2276], lr: 0.10000	Time 0.259 (0.284)	Data 0.001 (0.014)	Loss 2.5342 (3.5225)	Prec@1 30.000 (9.213)	Prec@5 60.000 (30.977)
Epoch: [0][2000/2276], lr: 0.10000	Time 0.269 (0.284)	Data 0.000 (0.014)	Loss 2.5245 (3.5149)	Prec@1 25.000 (9.375)	Prec@5 60.000 (31.259)
Epoch: [0][2020/2276], lr: 0.10000	Time 0.268 (0.284)	Data 0.000 (0.014)	Loss 2.8004 (3.5074)	Prec@1 10.000 (9.500)	Prec@5 55.000 (31.531)
Epoch: [0][2040/2276], lr: 0.10000	Time 0.250 (0.284)	Data 0.000 (0.014)	Loss 2.7291 (3.4999)	Prec@1 20.000 (9.657)	Prec@5 50.000 (31.769)
